# Chunk-averaged data for fix zOrder and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_myOrder[1]
100 83 17453
  53 52.5 201.2 0.269788
  54 53.5 216.7 0.269444
  55 54.5 206.9 0.270614
  56 55.5 206.2 0.273322
  57 56.5 220.3 0.272153
  58 57.5 199.2 0.27242
  59 58.5 219.5 0.271529
  60 59.5 209.2 0.271193
  61 60.5 208.9 0.270288
  62 61.5 208.6 0.271485
  63 62.5 213 0.269734
  64 63.5 203.2 0.266688
  65 64.5 211.1 0.272139
  66 65.5 205.3 0.271902
  67 66.5 215.7 0.27389
  68 67.5 216.4 0.271897
  69 68.5 201.8 0.273421
  70 69.5 211.6 0.272058
  71 70.5 204.4 0.272916
  72 71.5 214.7 0.272634
  73 72.5 208.1 0.272432
  74 73.5 212.4 0.273933
  75 74.5 207.9 0.272477
  76 75.5 208.7 0.270822
  77 76.5 201 0.270357
  78 77.5 223 0.272866
  79 78.5 232 0.284243
  80 79.5 182.4 0.283869
  81 80.5 185.7 0.289855
  82 81.5 252.7 0.298177
  83 82.5 65.7 0.297543
900 83 17453.000000000004
  1 0.5 197.2 0.299664
  2 1.5 279.5 0.305512
  3 2.5 197.6 0.304079
  4 3.5 170.3 0.305508
  5 4.5 200.6 0.301872
  6 5.5 276 0.304282
  7 6.5 198.9 0.30391
  8 7.5 169.2 0.306546
  9 8.5 212.6 0.306853
  10 9.5 275.3 0.311943
  11 10.5 187.5 0.307599
  12 11.5 172.9 0.305159
  13 12.5 228.4 0.309567
  14 13.5 266.9 0.313601
  15 14.5 177.3 0.307251
  16 15.5 173.7 0.307807
  17 16.5 247.2 0.308678
  18 17.5 248.7 0.306153
  19 18.5 175.4 0.305874
  20 19.5 175.5 0.305477
  21 20.5 259.4 0.310553
  22 21.5 237 0.309543
  23 22.5 173.2 0.308279
  24 23.5 183.5 0.301261
  25 24.5 267 0.307729
  26 25.5 224 0.3044
  27 26.5 170.8 0.306957
  28 27.5 194.7 0.30165
  29 28.5 280.3 0.311651
  30 29.5 200.2 0.308496
  31 30.5 169.5 0.308858
  32 31.5 207 0.30615
  33 32.5 274.8 0.308858
  34 33.5 194.3 0.302674
  35 34.5 173.1 0.304657
  36 35.5 224.1 0.306335
  37 36.5 266.5 0.307748
  38 37.5 181.1 0.305095
  39 38.5 174.5 0.304669
  40 39.5 257.7 0.302076
  41 40.5 229.5 0.29122
  42 41.5 184.3 0.277831
  43 42.5 203.5 0.275586
  44 43.5 223.6 0.271717
  45 44.5 211 0.26775
  46 45.5 210 0.268408
  47 46.5 211.2 0.272144
  48 47.5 210.1 0.272594
  49 48.5 212.2 0.27079
  50 49.5 220.6 0.272264
  51 50.5 202.5 0.271252
  52 51.5 208.7 0.271485
  53 52.5 206.9 0.269617
  54 53.5 211 0.272556
  55 54.5 214.5 0.271379
  56 55.5 214 0.26845
  57 56.5 212.7 0.273466
  58 57.5 208.4 0.272895
  59 58.5 207.4 0.270234
  60 59.5 212.1 0.27018
  61 60.5 205.7 0.271395
  62 61.5 213.5 0.270122
  63 62.5 211.1 0.273036
  64 63.5 204.2 0.270845
  65 64.5 212 0.271855
  66 65.5 209.8 0.271159
  67 66.5 208.3 0.273507
  68 67.5 211.3 0.270501
  69 68.5 212.8 0.269973
  70 69.5 209.2 0.272708
  71 70.5 207.6 0.272575
  72 71.5 213.6 0.275612
  73 72.5 209.4 0.273541
  74 73.5 212.3 0.271676
  75 74.5 213.9 0.268643
  76 75.5 203.7 0.271748
  77 76.5 201.7 0.271561
  78 77.5 220.9 0.275893
  79 78.5 227.5 0.283103
  80 79.5 183.3 0.287302
  81 80.5 182.8 0.291496
  82 81.5 266.3 0.298652
  83 82.5 54.5 0.296047
1000 83 17453
  1 0.5 194.6 0.29603
  2 1.5 278.4 0.302582
  3 2.5 200.6 0.301828
  4 3.5 170.8 0.304748
  5 4.5 203.8 0.303867
  6 5.5 283.2 0.310687
  7 6.5 187.5 0.30491
  8 7.5 170 0.307833
  9 8.5 216.9 0.30448
  10 9.5 268.4 0.309454
  11 10.5 190 0.309001
  12 11.5 171.2 0.30997
  13 12.5 225.3 0.307369
  14 13.5 265.2 0.307281
  15 14.5 183.7 0.301306
  16 15.5 174.2 0.306874
  17 16.5 245.8 0.309325
  18 17.5 249.4 0.307678
  19 18.5 175.3 0.305199
  20 19.5 180.8 0.305316
  21 20.5 266.9 0.311168
  22 21.5 227.9 0.307129
  23 22.5 170.2 0.305232
  24 23.5 190.9 0.30478
  25 24.5 279.6 0.305342
  26 25.5 204.7 0.30477
  27 26.5 169.9 0.305091
  28 27.5 202.7 0.304179
  29 28.5 277.4 0.309319
  30 29.5 194.4 0.305658
  31 30.5 171.1 0.306203
  32 31.5 218.4 0.304589
  33 32.5 273.2 0.306692
  34 33.5 182.9 0.302379
  35 34.5 171.6 0.304781
  36 35.5 233.1 0.304811
  37 36.5 261 0.307522
  38 37.5 179.6 0.304441
  39 38.5 175 0.302127
  40 39.5 244.4 0.304935
  41 40.5 239.4 0.294637
  42 41.5 183.1 0.284746
  43 42.5 201 0.278565
  44 43.5 216.9 0.274463
  45 44.5 213.9 0.268026
  46 45.5 210.3 0.26774
  47 46.5 213.3 0.270839
  48 47.5 214.7 0.27144
  49 48.5 206.5 0.26985
  50 49.5 217.9 0.273363
  51 50.5 205.7 0.269758
  52 51.5 210.7 0.272344
  53 52.5 208 0.271046
  54 53.5 212 0.269564
  55 54.5 211.2 0.269777
  56 55.5 214.3 0.269684
  57 56.5 217.5 0.272624
  58 57.5 208.5 0.272787
  59 58.5 203.5 0.271987
  60 59.5 211.9 0.270165
  61 60.5 210.3 0.271972
  62 61.5 215.1 0.2695
  63 62.5 203.7 0.271209
  64 63.5 207.6 0.269845
  65 64.5 213.2 0.269963
  66 65.5 214.2 0.271341
  67 66.5 212.3 0.272416
  68 67.5 210.5 0.26906
  69 68.5 212.8 0.273282
  70 69.5 208.5 0.275022
  71 70.5 207 0.274324
  72 71.5 210.5 0.271763
  73 72.5 207.8 0.272785
  74 73.5 217.7 0.269055
  75 74.5 215 0.27139
  76 75.5 202.9 0.27135
  77 76.5 200 0.273452
  78 77.5 225.2 0.276099
  79 78.5 223 0.278673
  80 79.5 180.3 0.285973
  81 80.5 190.9 0.291378
  82 81.5 261.4 0.298309
  83 82.5 52.8 0.291544
1100 83 17453
  1 0.5 204.3 0.297817
  2 1.5 277.9 0.302349
  3 2.5 192 0.300572
  4 3.5 170.4 0.302879
  5 4.5 209.9 0.303046
  6 5.5 277.3 0.306956
  7 6.5 188 0.305002
  8 7.5 170.6 0.304621
  9 8.5 212.1 0.304105
  10 9.5 279.3 0.30991
  11 10.5 183 0.305676
  12 11.5 171 0.306389
  13 12.5 236.4 0.305089
  14 13.5 259.9 0.307148
  15 14.5 177.5 0.303186
  16 15.5 174.6 0.302135
  17 16.5 254.4 0.306082
  18 17.5 244.1 0.306651
  19 18.5 172.1 0.306603
  20 19.5 177.4 0.306713
  21 20.5 280.4 0.312329
  22 21.5 217.2 0.307431
  23 22.5 170 0.305938
  24 23.5 196.9 0.302961
  25 24.5 276.8 0.307203
  26 25.5 202 0.304047
  27 26.5 170.2 0.307497
  28 27.5 211.3 0.306163
  29 28.5 276 0.313309
